,@BBC_compound,@CBS_compound,@CNN_compound,@FoxNews_compound,@nytimes_compound
0,0.1967,0.5562,0.0,0.6124,-0.765
1,0.0,0.5411,0.0,-0.891,0.0
2,-0.1027,0.0,-0.128,-0.802,-0.3506
3,0.3612,-0.3818,-0.5267,0.0,0.9118
4,-0.296,0.3182,-0.128,0.0772,-0.3612
5,0.0,0.4019,0.5574,0.6674,0.0
6,-0.0191,0.8622,0.0,0.0,-0.296
7,0.0,0.3612,0.7184,0.2617,0.0
8,0.6705,0.3182,0.0,0.3182,0.4019
9,0.3182,0.0,-0.5267,0.7343,-0.6705
10,0.0,0.0,-0.34,0.0,0.5574
11,0.0,0.5411,0.1695,-0.6369,0.0
12,0.0,0.0,0.4019,0.0,0.0
13,0.0,0.7574,0.3612,-0.4404,0.3612
14,0.0,0.5574,0.0,0.0,0.0
15,0.0,0.1867,0.6249,0.0,-0.3182
16,0.0,0.4199,0.5719,-0.6369,-0.3818
17,0.5994,0.4926,0.0,0.4215,0.0
18,0.3612,0.3555,-0.8442,-0.2023,0.128
19,0.0,0.0,-0.6249,0.4019,0.0
20,0.5719,0.0,-0.296,0.5994,0.0
21,-0.2732,0.9392,0.0,0.0,0.0
22,0.5859,0.3595,-0.25,0.0,0.0
23,0.8499,-0.296,0.6369,0.0,0.7096
24,-0.8402,0.1779,0.2732,-0.6808,0.0
25,0.0,-0.5562,0.0,-0.4404,0.5859
26,0.0,0.5093,-0.296,0.0772,-0.5358
27,0.0,-0.296,0.0,0.1027,-0.1531
28,0.8625,0.0,0.296,0.5574,0.0
29,0.7717,0.0,0.2023,-0.4767,0.0
30,-0.8338,0.4767,0.0,-0.4767,-0.4585
31,0.7269,0.8478,0.6808,-0.1531,-0.8271
32,0.6763,0.92,0.0,0.128,-0.34
33,0.4939,0.4404,0.2023,0.3612,0.0
34,0.0,0.4404,-0.7269,-0.6369,0.5423
35,0.4588,0.836,-0.3612,0.5574,0.2732
36,-0.5632,0.0,0.4215,-0.2732,0.6486
37,0.0,0.6369,0.5574,-0.4939,0.0258
38,0.3612,0.7978,0.2003,-0.3182,-0.3182
39,0.8402,0.9523,-0.5719,0.0,-0.3182
40,0.0,0.5994,0.0,0.0,0.0
41,0.4939,0.4215,0.0,0.4019,0.5574
42,0.0,0.8932,0.0,0.4019,-0.3612
43,0.5719,0.0,0.3612,0.5267,0.5859
44,0.6369,0.0,-0.659,0.0,-0.5574
45,0.5994,0.8908,0.0,0.6249,-0.8519
46,0.4767,0.0,0.7964,0.5106,0.0772
47,0.6705,0.4926,-0.296,0.4246,-0.8658
48,0.9403,0.5093,0.6124,-0.4588,0.0
49,0.0,0.7579,-0.5859,-0.4767,0.0
50,0.8268,0.6467,0.4019,-0.5267,0.8225
51,0.8221,0.0,0.0,0.4939,0.5994
52,-0.5423,0.636,-0.2732,0.0,-0.765
53,0.4215,0.8834,-0.1779,-0.7579,0.3612
54,-0.4767,0.0,-0.1531,-0.5859,0.0
55,0.6597,0.7351,0.0,0.0,0.5574
56,0.0,0.0,0.0,0.4404,0.0
57,-0.5255,0.0,-0.749,-0.2732,-0.3818
58,0.0,0.4019,-0.6369,0.5719,0.2144
59,0.25,0.9151,0.2732,0.0,0.4215
60,-0.6486,0.6369,0.0,0.4215,0.4779
61,0.6597,0.1511,-0.872,0.0,0.0
62,0.0,0.1531,0.0,-0.4404,0.0
63,0.5719,0.8834,0.4019,0.0,-0.8402
64,-0.0516,0.0,0.3612,0.0,0.0
65,0.0,0.2714,0.7845,0.0,-0.5994
66,0.4019,0.0,0.0258,0.296,0.0
67,-0.6908,0.8883,0.296,0.3182,0.7906
68,0.0,0.9134,0.4939,0.0,-0.2732
69,0.0,0.0,-0.4854,0.3947,-0.34
70,-0.6908,0.25,0.0,-0.7964,0.0
71,0.5106,0.4588,0.0,0.0,-0.2263
72,0.5994,0.0,-0.5423,0.3338,0.4404
73,0.0,0.3612,0.0,0.0,0.0
74,0.0,0.8908,0.5267,0.0,-0.4404
75,-0.0258,0.0,0.34,0.0,0.5574
76,0.0,0.0,-0.6908,0.5256,-0.6705
77,0.4215,0.6369,0.2023,0.3182,-0.4215
78,0.5574,0.0,0.3182,-0.34,0.0
79,0.7717,0.6369,0.0772,0.0,0.5719
80,-0.2732,0.8834,0.2732,0.0,0.0
81,0.0,0.6696,0.3182,-0.836,-0.4019
82,-0.25,0.3182,-0.4215,0.5859,0.7096
83,-0.1531,0.0,0.0,0.608,0.5267
84,0.765,0.4374,0.128,0.3612,0.0
85,0.0,0.0,0.0,0.0,0.5719
86,0.826,0.4184,-0.4019,0.5267,0.0
87,-0.802,0.68,0.3818,0.4939,0.0
88,0.6696,0.0,0.0,0.0,0.0
89,0.0,0.296,-0.296,0.4215,0.0
90,0.3818,0.0,-0.6705,0.0,-0.5423
91,-0.6908,0.9078,-0.5859,-0.8074,-0.1263
92,0.0,0.3612,0.0,0.0,0.6249
93,0.0,0.2732,-0.5267,0.0,0.2235
94,0.0,0.3595,0.0,0.0,0.128
95,0.2462,-0.4404,-0.4215,-0.5994,0.6369
96,0.4019,0.4574,0.0,-0.2263,0.5106
97,0.0,0.5093,0.5719,-0.743,-0.128
98,0.694,0.0,0.0,-0.5908,0.5514
99,0.0,0.0,-0.5574,0.0,-0.4939
